achievement_criterion_id,achievement_criterion_type,achievement_criterion_value,achievement_criterion_count,next_id
O0042,unconditional_completed,twitter://post?message=%E3%80%90%E4%B8%80%E6%B0%97%E3%81%AB%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%E3%83%BC%E2%99%AA%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BCTVCM%E7%AC%AC2%E5%BC%BE%E5%85%A8%E5%9B%BD%E6%94%BE%E9%80%81%E8%A8%98%E5%BF%B5%EF%BC%81%E3%82%82%E3%82%8C%E3%81%AA%E3%81%8F%E6%AF%8E%E6%97%A51%E5%9B%9E%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E7%84%A1%E6%96%99%EF%BC%81%E3%81%82%E3%81%AECM%E3%81%AE%E6%9C%9F%E5%BE%85%E6%84%9F%E4%BD%93%E9%A8%93%E5%9E%8B%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E9%96%8B%E5%82%AC%EF%BC%81%EF%BC%9F%E3%81%95%E3%82%89%E3%81%AB%E4%BB%8A%E3%81%A0%E3%81%91%E6%9C%80%E9%AB%98%E3%83%AC%E3%82%A2%E8%A6%9A%E9%86%92%E5%8F%AF%E8%83%BD%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E8%B2%B0%E3%81%88%E3%82%8B%EF%BC%81%E4%BB%96%E3%83%A2%E3%83%AA%E3%83%A2%E3%83%AA%21%21%E3%80%90%E5%8B%98%E9%81%95%E3%81%84%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%82%88%E3%80%91http%3A%2F%2Fcrashfever.com%2Finstall%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0043,unconditional_completed,line://msg/text/%E3%80%90%E4%B8%80%E6%B0%97%E3%81%AB%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%26%2312316%3B%21%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BCTVCM%E7%AC%AC2%E5%BC%BE%E5%85%A8%E5%9B%BD%E6%94%BE%E9%80%81%E8%A8%98%E5%BF%B5%EF%BC%81%E3%82%82%E3%82%8C%E3%81%AA%E3%81%8F%E6%AF%8E%E6%97%A51%E5%9B%9E%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E7%84%A1%E6%96%99%EF%BC%81%E3%81%82%E3%81%AECM%E3%81%AE%E6%9C%9F%E5%BE%85%E6%84%9F%E4%BD%93%E9%A8%93%E5%9E%8B%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E9%96%8B%E5%82%AC%EF%BC%81%EF%BC%9F%E3%81%95%E3%82%89%E3%81%AB%E4%BB%8A%E3%81%A0%E3%81%91%E6%9C%80%E9%AB%98%E3%83%AC%E3%82%A2%E8%A6%9A%E9%86%92%E5%8F%AF%E8%83%BD%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E8%B2%B0%E3%81%88%E3%82%8B%EF%BC%81%E4%BB%96%E3%83%A2%E3%83%AA%E3%83%A2%E3%83%AA%21%21%E3%80%90%E5%8B%98%E9%81%95%E3%81%84%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%82%88%E3%80%91http%3A%2F%2Fcrashfever.com%2Finstall,1,NULL
O0045,unconditional_completed,http://line.me/S/sticker/1311929,1,NULL
O0046,follow_completed,1,1,NULL
O0047,unconditional_completed,http://www.youtube.com/channel/UC5D-9vrJL7It17mhLF66EOQ?sub_confirmation=1,1,NULL
O0048,unconditional_completed,https://game8.jp/archives/84717?utm_source=CrushFeverMission&utm_medium=refferal&utm_campaign=CrufMission6,1,NULL
G8002,unconditional_completed,https://game8.jp/archives/59885?utm_source=CrushFeverMission&utm_medium=refferal&utm_campaign=CrufMission2#hl_5,1,NULL
G8003,unconditional_completed,https://game8.jp/archives/68791?utm_source=CrushFeverMission&utm_medium=refferal&utm_campaign=CrufMission3,1,NULL
G8004,unconditional_completed,https://game8.jp/archives/73849?utm_source=CrushFeverMission&utm_medium=refferal&utm_campaign=CrufMission4,1,NULL
G8005,unconditional_completed,https://game8.jp/archives/71145?utm_source=CrushFeverMission&utm_medium=refferal&utm_campaign=CrufMission5#hl_5,1,NULL
G8006,unconditional_completed,https://game8.jp/archives/118081,1,NULL
G8007,unconditional_completed,https://live.nicovideo.jp/watch/lv287332252,1,NULL
G8008,unconditional_completed,https://game8.jp/archives/140857,1,NULL
R0030,player_rank,20000,1,NULL
R0040,player_rank,20000,1,NULL
R0050,player_rank,20000,1,NULL
R0075,player_rank,20000,1,NULL
R0100,player_rank,20000,1,NULL
R0125,player_rank,20000,1,NULL
R0150,player_rank,20000,1,NULL
R0175,player_rank,20000,1,NULL
R0200,player_rank,20000,1,NULL
R0300,player_rank,20000,1,NULL
RA0025,player_rank,20000,1,NULL
RA0050,player_rank,20000,1,NULL
RA0075,player_rank,20000,1,NULL
RA0100,player_rank,20000,1,NULL
RA0125,player_rank,20000,1,NULL
RA0150,player_rank,20000,1,NULL
RA0175,player_rank,20000,1,NULL
RA0200,player_rank,20000,1,NULL
RA0225,player_rank,20000,1,NULL
RA0250,player_rank,20000,1,NULL
RA0275,player_rank,20000,1,NULL
RA0300,player_rank,20000,1,NULL
RA0325,player_rank,20000,1,NULL
RA0350,player_rank,20000,1,NULL
R0031,player_rank,20000,1,NULL
R0041,player_rank,20000,1,NULL
R0051,player_rank,20000,1,NULL
R0076,player_rank,20000,1,NULL
R0101,player_rank,20000,1,NULL
R0126,player_rank,20000,1,NULL
R0151,player_rank,20000,1,NULL
R0176,player_rank,20000,1,NULL
R0201,player_rank,20000,1,NULL
R0301,player_rank,20000,1,NULL
RA1005,player_rank,20000,1,NULL
RA1010,player_rank,20000,1,NULL
RA1015,player_rank,20000,1,NULL
RA1020,player_rank,20000,1,NULL
RA1025,player_rank,20000,1,NULL
RA1030,player_rank,20000,1,NULL
RA1040,player_rank,20000,1,NULL
RA1050,player_rank,20000,1,NULL
RA1075,player_rank,20000,1,NULL
RA1100,player_rank,20000,1,NULL
RA1125,player_rank,20000,1,NULL
RA1150,player_rank,20000,1,NULL
RA1175,player_rank,20000,1,NULL
RA1200,player_rank,20000,1,NULL
RA1250,player_rank,20000,1,NULL
RA1300,player_rank,20000,1,NULL
RA1350,player_rank,20000,1,NULL
RA1400,player_rank,20000,1,NULL
RA9999,player_rank,20000,1,NULL
RT0001,player_rank,1,1,NULL
RT0002,player_rank,1,1,NULL
RT0003,player_rank,1,1,NULL
RT0004,player_rank,1,1,NULL
RT0010,player_rank,10,1,NULL
RT0011,player_rank,10,1,NULL
RT0030,player_rank,30,1,NULL
RT0031,player_rank,30,1,NULL
RT0050,player_rank,50,1,NULL
RT0051,player_rank,50,1,NULL
RT0070,player_rank,70,1,NULL
RT0071,player_rank,70,1,NULL
RT0100,player_rank,100,1,NULL
RT0101,player_rank,100,1,NULL
RT0150,player_rank,150,1,NULL
RT0151,player_rank,150,1,NULL
RT0200,player_rank,200,1,NULL
RT0201,player_rank,200,1,NULL
RT0250,player_rank,250,1,NULL
RT0251,player_rank,250,1,NULL
RT0300,player_rank,300,1,NULL
RT0301,player_rank,300,1,NULL
RT0400,player_rank,400,1,NULL
RT0401,player_rank,400,1,NULL
O0026,unconditional_completed,https://game8.jp/archives/59863?utm_source=CrushFeverMission&utm_medium=refferal&utm_campaign=CrufMission1#hl_5,1,NULL
O0027,unconditional_completed,twitter://post?message=%e3%80%90App%20Store%e3%82%bb%e3%83%bc%e3%83%ab%e3%82%b9TOP10%e3%83%a9%e3%83%b3%e3%82%af%e3%82%a4%e3%83%b3%ef%bc%81%e3%80%91%e3%83%86%e3%83%ac%e3%83%93CM%e3%81%a7%e3%82%82%e8%a9%b1%e9%a1%8c%e3%81%ae%e5%a4%a7%e4%ba%ba%e6%b0%97%e3%83%91%e3%82%ba%e3%83%ab%e3%82%b2%e3%83%bc%e3%83%a0%e3%80%8e%e3%82%af%e3%83%a9%e3%83%83%e3%82%b7%e3%83%a5%e3%83%95%e3%82%a3%e3%83%bc%e3%83%90%e3%83%bc%e3%80%8f%e3%81%8c%e3%83%9d%e3%83%aa%e3%82%b4%e3%83%b3%e5%a4%a7%e9%87%8f%e9%85%8d%e5%b8%83%e4%b8%ad%ef%bc%81%e6%b5%81%e8%a1%8c%e3%81%ae%e6%b3%a2%e3%81%ab%e4%b9%97%e3%82%8a%e9%81%85%e3%82%8c%e3%82%8b%e3%81%aa%ef%bc%81%e3%80%90%e3%83%96%e3%83%83%e5%bf%ab%e6%84%9f%e3%83%bc%e2%99%aa%e3%80%91%20http%3a%2f%2fcrashfever%2ecom%2finstall%20%23%e3%82%af%e3%83%a9%e3%83%95%e3%82%a3,1,NULL
O0028,unconditional_completed,line://msg/text/%E3%80%90AppStore%E3%82%BB%E3%83%BC%E3%83%AB%E3%82%B9TOP10%E3%83%A9%E3%83%B3%E3%82%AF%E3%82%A4%E3%83%B3%EF%BC%81%E3%80%91%E3%83%86%E3%83%AC%E3%83%93CM%E3%81%A7%E3%82%82%E8%A9%B1%E9%A1%8C%E3%81%AE%E5%A4%A7%E4%BA%BA%E6%B0%97%E3%83%91%E3%82%BA%E3%83%AB%E3%82%B2%E3%83%BC%E3%83%A0%E3%80%8E%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%8F%E3%81%8C%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E5%A4%A7%E9%87%8F%E9%85%8D%E5%B8%83%E4%B8%AD%EF%BC%81%E6%B5%81%E8%A1%8C%E3%81%AE%E6%B3%A2%E3%81%AB%E4%B9%97%E3%82%8A%E9%81%85%E3%82%8C%E3%82%8B%E3%81%AA%EF%BC%81%E3%80%90%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%E3%83%BC%E2%99%AA%E3%80%91http%3A%2F%2Fcrashfever.com%2Finstall%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0029,unconditional_completed,https://www.facebook.com/CrashFeverJP/,1,NULL
O0030,unconditional_completed,twitter://post?message=%E3%80%90%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%91%E3%80%8A%E3%82%B5%E3%83%B3%E3%83%AA%E3%82%AA%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC%E3%82%BA%E3%80%8B%E6%9C%9F%E9%96%93%E9%99%90%E5%AE%9A%E3%82%B3%E3%83%A9%E3%83%9C%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E3%80%8C%E3%82%82%E3%82%8C%E3%81%AA%E3%81%8F%E5%85%A8%E5%93%A1%E3%81%AB%E3%80%8D%E2%98%855%E3%81%BE%E3%81%A7%E8%A6%9A%E9%86%92%E3%81%A7%E3%81%8D%E3%82%8B%E3%80%8E%E3%83%8F%E3%83%AD%E3%83%BC%E3%82%AD%E3%83%86%E3%82%A3%E3%80%8F%E3%82%92%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%EF%BC%81%20http%3A%2F%2Fcrashfever.com%2Finstall%20%20pic.twitter.com%2FpTX8B9Gr6r%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0031,unconditional_completed,line://msg/text/%E3%80%90%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%91%E3%80%8A%E3%82%B5%E3%83%B3%E3%83%AA%E3%82%AA%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC%E3%82%BA%E3%80%8B%E6%9C%9F%E9%96%93%E9%99%90%E5%AE%9A%E3%82%B3%E3%83%A9%E3%83%9C%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E3%80%8C%E3%82%82%E3%82%8C%E3%81%AA%E3%81%8F%E5%85%A8%E5%93%A1%E3%81%AB%E3%80%8D%E2%98%855%E3%81%BE%E3%81%A7%E8%A6%9A%E9%86%92%E3%81%A7%E3%81%8D%E3%82%8B%E3%80%8E%E3%83%8F%E3%83%AD%E3%83%BC%E3%82%AD%E3%83%86%E3%82%A3%E3%80%8F%E3%82%92%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%20http%3A%2F%2Fcrashfever.com%2Finstall,1,NULL
O0032,unconditional_completed,twitter://post?message=%E3%80%90%E3%81%A4%E3%81%84%E3%81%AB400%E4%B8%87%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%E7%AA%81%E7%A0%B4%EF%BC%81%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E2%98%85%E8%A8%98%E5%BF%B5%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E6%84%9F%E8%AC%9D%E3%82%92%E8%BE%BC%E3%82%81%E3%81%A6%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E5%85%A8%E5%93%A1%E3%81%AB%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E9%85%8D%E5%B8%83%EF%BC%86%E7%89%B9%E5%88%A5%E8%A8%98%E5%BF%B5%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%99%E3%81%90%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%EF%BC%81%EF%BC%81%20http%3A%2F%2Fcrashfever.com%2Finstall%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0033,unconditional_completed,line://msg/text/%E3%80%90%E3%81%A4%E3%81%84%E3%81%AB400%E4%B8%87%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%E7%AA%81%E7%A0%B4%EF%BC%81%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E2%98%85%E8%A8%98%E5%BF%B5%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E6%84%9F%E8%AC%9D%E3%82%92%E8%BE%BC%E3%82%81%E3%81%A6%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E5%85%A8%E5%93%A1%E3%81%AB%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E9%85%8D%E5%B8%83%EF%BC%86%E7%89%B9%E5%88%A5%E8%A8%98%E5%BF%B5%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%99%E3%81%90%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%EF%BC%81%EF%BC%81%20http%3A%2F%2Fcrashfever.com%2Finstall,1,NULL
O0034,unconditional_completed,twitter://post?message=%E3%80%901%E5%91%A8%E5%B9%B4%E6%84%9F%E8%AC%9D%E7%A5%AD%EF%BC%81%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E2%98%86%E6%BF%80%E3%82%A2%E3%83%84%E8%A8%98%E5%BF%B5%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E5%A4%A7%E9%87%8F%E9%85%8D%E5%B8%83%EF%BC%86%E7%89%B9%E5%88%A5%E8%A8%98%E5%BF%B5%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%EF%BC%81%E3%80%90%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3%E3%81%AE%E5%A4%8F%E3%80%91crashfever.com%2Finstall%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0035,unconditional_completed,line://msg/text/%E3%80%901%E5%91%A8%E5%B9%B4%E6%84%9F%E8%AC%9D%E7%A5%AD%EF%BC%81%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E2%98%86%E6%BF%80%E3%82%A2%E3%83%84%E8%A8%98%E5%BF%B5%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E5%A4%A7%E9%87%8F%E9%85%8D%E5%B8%83%EF%BC%86%E7%89%B9%E5%88%A5%E8%A8%98%E5%BF%B5%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%EF%BC%81%E3%80%90%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3%E3%81%AE%E5%A4%8F%E3%80%91crashfever.com%2Finstall,1,NULL
O0036,unconditional_completed,twitter://post?message=%E3%80%90%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%C3%97%E9%80%B2%E6%92%83%E3%81%AE%E5%B7%A8%E4%BA%BA%E3%80%91%E6%9C%9F%E9%96%93%E9%99%90%E5%AE%9A%E3%82%B3%E3%83%A9%E3%83%9C%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E5%85%A8%E5%93%A1%E3%81%AB%E3%80%8E%E3%83%AA%E3%83%B4%E3%82%A1%E3%82%A4%20%E3%81%8A%E6%8E%83%E9%99%A4ver%E3%80%8F%E3%82%92%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%EF%BC%86%E6%AF%8E%E6%97%A5%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E9%85%8D%E5%B8%83%E4%B8%AD%EF%BC%81%E5%B7%A8%E4%BA%BA%E3%82%92%E9%A7%86%E9%80%90%E3%81%97%E3%82%88%E3%81%86%EF%BC%81%E3%81%9D%E3%81%AE%E6%8C%87%E5%85%88%E3%81%AB%E5%AD%98%E5%9C%A8-ID-%E3%82%92%E3%81%8B%E3%81%91%E3%81%A6%20http%3A%2F%2Fcrashfever.com%2Finstall%20%23shingeki%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0037,unconditional_completed,line://msg/text/%E3%80%90%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%C3%97%E9%80%B2%E6%92%83%E3%81%AE%E5%B7%A8%E4%BA%BA%E3%80%91%E6%9C%9F%E9%96%93%E9%99%90%E5%AE%9A%E3%82%B3%E3%83%A9%E3%83%9C%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E5%85%A8%E5%93%A1%E3%81%AB%E3%80%8E%E3%83%AA%E3%83%B4%E3%82%A1%E3%82%A4%20%E3%81%8A%E6%8E%83%E9%99%A4ver%E3%80%8F%E3%82%92%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%EF%BC%86%E6%AF%8E%E6%97%A5%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E9%85%8D%E5%B8%83%E4%B8%AD%EF%BC%81%E5%B7%A8%E4%BA%BA%E3%82%92%E9%A7%86%E9%80%90%E3%81%97%E3%82%88%E3%81%86%EF%BC%81%E3%81%9D%E3%81%AE%E6%8C%87%E5%85%88%E3%81%AB%E5%AD%98%E5%9C%A8-ID-%E3%82%92%E3%81%8B%E3%81%91%E3%81%A6%20http%3A%2F%2Fcrashfever.com%2Finstall,1,NULL
O0038,unconditional_completed,https://line.me/R/ti/p/%40crashfever,1,NULL
O0049,unconditional_completed,twitter://post?message=%E3%80%90%E5%8F%B0%E6%B9%BEApp%20Store%E5%A3%B2%E4%B8%8A%E3%83%A9%E3%83%B3%E3%82%AD%E3%83%B3%E3%82%B0%E7%AC%AC%EF%BC%91%E4%BD%8D%EF%BC%81%E3%80%91%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%E3%81%A7%E3%81%8A%E9%A6%B4%E6%9F%93%E3%81%BF%E3%80%8E%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%8F%E3%81%8C%E5%8F%B0%E6%B9%BE%E3%81%A7%E3%82%82%E8%B6%85%E7%B5%B6%E4%BA%BA%E6%B0%97%E6%B2%B8%E9%A8%B0%E4%B8%AD%EF%BC%81%E3%81%93%E3%81%AE%E3%83%93%E3%83%83%E3%82%B0%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%96%E3%81%AB%E4%B9%97%E3%82%8B%E3%81%97%E3%81%8B%E3%81%AA%E3%81%84%EF%BC%81%EF%BC%9F%E3%80%90%E5%8B%98%E9%81%95%E3%81%84%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%82%88%EF%BC%9F%E3%80%91%20http%3A%2F%2Fcrashfever.com%2Finstall%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0050,unconditional_completed,twitter://post?message=%E3%80%90%E5%85%A8%E4%B8%96%E7%95%8C600%E4%B8%87DL%E7%AA%81%E7%A0%B4%E8%A8%98%E5%BF%B5%E2%98%86%E5%A4%A7%E6%84%9F%E8%AC%9D%E7%A5%AD%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%8A%E6%AF%8E%E6%97%A5%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E7%84%A1%E6%96%99%E3%80%8B%E3%81%97%E3%81%8B%E3%82%82%EF%BC%81%E6%97%A5%E6%9B%BF%E3%82%8F%E3%82%8A%E3%81%A7%E5%AC%89%E3%81%97%E3%81%84%E7%89%B9%E5%85%B8%E3%82%82%E3%82%B2%E3%83%83%E3%83%88%EF%BC%81%E3%81%93%E3%81%93%E3%81%8B%E3%82%89%E4%BB%8A%E3%81%99%E3%81%90%E7%84%A1%E6%96%99%E3%81%A7%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E3%82%92%E5%9B%9E%E3%81%9D%E3%81%86%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0051,unconditional_completed,line://msg/text/%E3%80%90%E5%85%A8%E4%B8%96%E7%95%8C600%E4%B8%87DL%E7%AA%81%E7%A0%B4%E8%A8%98%E5%BF%B5%E2%98%86%E5%A4%A7%E6%84%9F%E8%AC%9D%E7%A5%AD%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%8A%E6%AF%8E%E6%97%A5%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E7%84%A1%E6%96%99%E3%80%8B%E3%81%97%E3%81%8B%E3%82%82%EF%BC%81%E6%97%A5%E6%9B%BF%E3%82%8F%E3%82%8A%E3%81%A7%E5%AC%89%E3%81%97%E3%81%84%E7%89%B9%E5%85%B8%E3%82%82%E3%82%B2%E3%83%83%E3%83%88%EF%BC%81%E3%81%93%E3%81%93%E3%81%8B%E3%82%89%E4%BB%8A%E3%81%99%E3%81%90%E7%84%A1%E6%96%99%E3%81%A7%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E3%82%92%E5%9B%9E%E3%81%9D%E3%81%86%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay,1,NULL
O0052,unconditional_completed,twitter://post?message=%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E2%98%86%E5%85%A8%E3%83%A6%E3%83%BC%E3%82%B6%E3%83%BC%E5%BE%85%E6%9C%9B%E3%81%AE%E3%80%8A%E9%A1%94%E5%90%88%E3%82%8F%E3%81%9B%E3%83%9C%E3%83%BC%E3%83%8A%E3%82%B9%E3%80%8B%E3%82%92%E3%83%AA%E3%82%BB%E3%83%83%E3%83%88%EF%BC%81%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E3%80%90%E6%9C%80%E5%A4%A7140%E5%80%8B%EF%BC%88%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A328%E5%9B%9E%E5%88%86%EF%BC%89%E3%80%91%E3%82%92%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%EF%BC%81%E4%BB%8A%E3%81%99%E3%81%90%E5%8F%8B%E3%81%A0%E3%81%A1%E3%81%A8%E3%83%9E%E3%83%AB%E3%83%81%E3%83%97%E3%83%AC%E3%82%A4%E3%82%92%E3%81%97%E3%81%A6%E5%A4%A7%E9%87%8F%E3%81%AE%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E3%82%92%E3%82%B2%E3%83%83%E3%83%88%E3%81%97%E3%82%88%E3%81%86%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
